Emulsifier;EM_Concentration;Timepoint;Donor;Live_Count;Dead_Count;Ratio;;;;;;;;;;;;;;;
P80;0,05;24;4;9,57;9,32;1,03;;;;;;;;;;;;;;;
P80;0,5;24;4;9,50;9,31;1,02;;;;;;;;;;;;;;;
P80;0;24;4;9,52;9,30;1,02;;;;;;;;;;;;;;;
SoyLec;0,005;24;4;9,45;9,35;1,01;;;;;;;;;;;;;;;
SoyLec;0,05;24;4;9,06;9,43;0,96;;;;;;;;;;;;;;;
SoyLec;0,5;24;4;9,05;9,63;0,94;;;;;;;;;;;;;;;
SoyLec;0;24;4;9,52;9,30;1,02;;;;;;;;;;;;;;;
SL;0,005;24;4;9,61;9,31;1,03;;;;;;;;;;;;;;;
SL;0,05;24;4;9,28;9,51;0,98;;;;;;;;;;;;;;;
SL;0,5;24;4;8,95;9,21;0,97;;;;;;;;;;;;;;;
SL;0;24;4;9,52;9,30;1,02;;;;;;;;;;;;;;;
RL;0,005;24;4;9,26;9,41;0,98;;;;;;;;;;;;;;;
RL;0,05;24;4;9,02;9,40;0,96;;;;;;;;;;;;;;;
RL;0,5;24;4;9,02;9,29;0,97;;;;;;;;;;;;;;;
RL;0;24;4;9,52;9,30;1,02;;;;;;;;;;;;;;;
CMC;0,005;24;5;9,56;9,15;1,05;;;;;;;;;;;;;;;
CMC;0,05;24;5;9,55;9,06;1,05;;;;;;;;;;;;;;;
CMC;0,5;24;5;9,67;9,21;1,05;;;;;;;;;;;;;;;
CMC;0;24;5;9,53;9,09;1,05;;;;;;;;;;;;;;;
P80;0,005;24;5;9,50;9,16;1,04;;;;;;;;;;;;;;;
P80;0,05;24;5;9,41;9,18;1,03;;;;;;;;;;;;;;;
P80;0,5;24;5;9,40;9,25;1,02;;;;;;;;;;;;;;;
P80;0;24;5;9,53;9,09;1,05;;;;;;;;;;;;;;;
SoyLec;0,005;24;5;9,44;9,17;1,03;;;;;;;;;;;;;;;
SoyLec;0,05;24;5;8,85;9,26;0,96;;;;;;;;;;;;;;;
SoyLec;0,5;24;5;9,01;9,36;0,96;;;;;;;;;;;;;;;
SoyLec;0;24;5;9,53;9,09;1,05;;;;;;;;;;;;;;;
SL;0,005;24;5;9,46;9,06;1,04;;;;;;;;;;;;;;;
SL;0,05;24;5;9,20;9,17;1,00;;;;;;;;;;;;;;;
SL;0,5;24;5;8,65;8,85;0,98;;;;;;;;;;;;;;;
SL;0;24;5;9,53;9,09;1,05;;;;;;;;;;;;;;;
RL;0,005;24;5;9,15;9,17;1,00;;;;;;;;;;;;;;;
RL;0,05;24;5;8,89;9,05;0,98;;;;;;;;;;;;;;;
RL;0,5;24;5;8,58;8,88;0,97;;;;;;;;;;;;;;;
